Date-Time	Station_ID	CBOD	DO	FLOW	NH3	NOX	NP RATIO	ORGN	ORGP	PO4	TKN	TN	TP	TSS	WTEMP
08/01/2014 00:00	TN0020460	3.02000	8.38000	0.00814	0.03040	3.27415	1.13528	0.23374	1.34017	1.77650	0.26414	3.53828	3.11667	14.75000	25.00000
08/31/2014 00:00	TN0020460	3.02000	8.38000	0.00814	0.03040	3.27415	1.13528	0.23374	1.34017	1.77650	0.26414	3.53828	3.11667	14.75000	25.00000
09/01/2014 00:00	TN0020460	3.11000	8.48000	0.00841	0.03240	3.48955	1.20997	0.24911	1.34017	1.77650	0.28151	3.77107	3.11667	12.10000	25.00000
09/30/2014 00:00	TN0020460	3.11000	8.48000	0.00841	0.03240	3.48955	1.20997	0.24911	1.34017	1.77650	0.28151	3.77107	3.11667	12.10000	25.00000
10/01/2014 00:00	TN0020460	2.99000	7.97000	0.01046	0.03460	3.72650	1.29213	0.26603	1.34017	1.77650	0.30063	4.02713	3.11667	17.00000	15.00000
10/31/2014 00:00	TN0020460	2.99000	7.97000	0.01046	0.03460	3.72650	1.29213	0.26603	1.34017	1.77650	0.30063	4.02713	3.11667	17.00000	15.00000
11/01/2014 00:00	TN0020460	2.98000	8.17000	0.00916	0.03580	3.85574	1.33694	0.27526	1.34017	1.77650	0.31106	4.16679	3.11667	14.75000	15.00000
11/30/2014 00:00	TN0020460	2.98000	8.17000	0.00916	0.03580	3.85574	1.33694	0.27526	1.34017	1.77650	0.31106	4.16679	3.11667	14.75000	15.00000
12/01/2014 00:00	TN0020460	3.18000	8.20000	0.00930	0.02700	2.90796	1.00831	0.20760	1.34017	1.77650	0.23460	3.14255	3.11667	6.60000	15.00000
12/31/2014 00:00	TN0020460	3.18000	8.20000	0.00930	0.02700	2.90796	1.00831	0.20760	1.34017	1.77650	0.23460	3.14255	3.11667	6.60000	15.00000
01/01/2015 00:00	TN0020460	5.22000	8.50000	0.00780	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	3.40000	15.00000
01/31/2015 00:00	TN0020460	5.22000	8.50000	0.00780	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	3.40000	15.00000
02/01/2015 00:00	TN0020460	6.10000	7.83000	0.01639	0.07000	7.53915	2.61413	0.53821	1.34017	1.77650	0.60821	8.14736	3.11667	3.51000	15.00000
02/28/2015 00:00	TN0020460	6.10000	7.83000	0.01639	0.07000	7.53915	2.61413	0.53821	1.34017	1.77650	0.60821	8.14736	3.11667	3.51000	15.00000
03/01/2015 00:00	TN0020460	6.98000	7.16000	0.02497	0.09000	9.69320	3.36102	0.69199	1.34017	1.77650	0.78199	10.47518	3.11667	3.62000	15.00000
03/31/2015 00:00	TN0020460	6.98000	7.16000	0.02497	0.09000	9.69320	3.36102	0.69199	1.34017	1.77650	0.78199	10.47518	3.11667	3.62000	15.00000
04/01/2015 00:00	TN0020460	7.27000	6.35000	0.01547	0.14000	15.07830	5.22825	1.07642	1.34017	1.77650	1.21642	16.29473	3.11667	4.85000	25.00000
04/30/2015 00:00	TN0020460	7.27000	6.35000	0.01547	0.14000	15.07830	5.22825	1.07642	1.34017	1.77650	1.21642	16.29473	3.11667	4.85000	25.00000
05/01/2015 00:00	TN0020460	8.55000	7.80000	0.01065	0.11000	11.84724	4.10791	0.84576	1.34017	1.77650	0.95576	12.80300	3.11667	6.15000	25.00000
05/31/2015 00:00	TN0020460	8.55000	7.80000	0.01065	0.11000	11.84724	4.10791	0.84576	1.34017	1.77650	0.95576	12.80300	3.11667	6.15000	25.00000
06/01/2015 00:00	TN0020460	18.12000	7.24000	0.01025	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	6.54000	25.00000
06/30/2015 00:00	TN0020460	18.12000	7.24000	0.01025	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	6.54000	25.00000
07/01/2015 00:00	TN0020460	14.52000	6.90000	0.01209	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	4.61000	25.00000
07/31/2015 00:00	TN0020460	14.52000	6.90000	0.01209	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	4.61000	25.00000
08/01/2015 00:00	TN0020460	10.60000	6.20000	0.00749	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	5.20000	25.00000
08/31/2015 00:00	TN0020460	10.60000	6.20000	0.00749	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	5.20000	25.00000
09/01/2015 00:00	TN0020460	11.00000	7.10000	0.00758	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	5.00000	25.00000
09/30/2015 00:00	TN0020460	11.00000	7.10000	0.00758	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	5.00000	25.00000
10/01/2015 00:00	TN0020460	9.90000	7.55000	0.01003	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	6.00000	15.00000
10/31/2015 00:00	TN0020460	9.90000	7.55000	0.01003	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	6.00000	15.00000
11/01/2015 00:00	TN0020460	8.80000	8.00000	0.01249	0.07000	7.53915	2.61413	0.53821	1.34017	1.77650	0.60821	8.14736	3.11667	7.00000	15.00000
11/30/2015 00:00	TN0020460	8.80000	8.00000	0.01249	0.07000	7.53915	2.61413	0.53821	1.34017	1.77650	0.60821	8.14736	3.11667	7.00000	15.00000
12/01/2015 00:00	TN0020460	7.40000	8.40000	0.01516	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	2.70000	15.00000
12/31/2015 00:00	TN0020460	7.40000	8.40000	0.01516	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	2.70000	15.00000
01/01/2016 00:00	TN0020460	7.10000	8.90000	0.01117	0.30000	32.31065	11.20340	2.30662	1.34017	1.77650	2.60662	34.91727	3.11667	3.00000	15.00000
